=== SHEET: Balance des comptes ===
OPEN BEE FRANCE |  |  |  |  |  |  | Balance des comptes |  |  |  |  | Période du | 2025-01-01 00:00:00 |  | 
 |  |  |  |  |  |  |  |  |  |  |  | au | 2025-09-15 00:00:00 |  | 
 |  |  |  |  |  |  | Complète |  |  |  |  | Tenue de compte : EURO |  |  | 
© Sage - Sage 100 Comptabilité Premium 11.02 |  |  |  |  |  |  | Date de tirage |  | 2025-09-28 00:00:00 |  | 22:01:40 |  | Page : | 1 | 
Numéro
de
compte |  |  |  |  |  |  |  | Mouvements |  |  |  |  | Soldes |  | 
 |  |  |  | Intitulé des comptes |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  | Débit |  |  | Crédit |  | Débit |  | Crédit | 
61332200 |  | GV-233-FL |  |  |  |  |  | 4869.27 |  |  |  | 4869.27 |  |  | 
61332300 |  | LEASYS - GT-680-QT |  |  |  |  |  | 4603.85 |  |  |  | 4603.85 |  |  | 
61332400 |  | LLD Roulenloc GT-191-YH |  |  |  |  |  | 3213.07 |  |  |  | 3213.07 |  |  | 
61332500 |  | LLD Roulenloc WW-978-KQ - HC-437-NC |  |  |  |  |  | 3213 |  |  |  | 3213 |  |  | 
61332600 |  | LEASYS - GT-996-PK |  |  |  |  |  | 6136.87 |  |  |  | 6136.87 |  |  | 
61332700 |  | LEASYS - GY-086-XW |  |  |  |  |  | 3292.96 |  |  |  | 3292.96 |  |  | 
61332800 |  | LDD CGFF - HB-477-GL |  |  |  |  |  | 7591.06 |  | 788 |  | 6803.06 |  |  | 
61332900 |  | LDD VW GQ-345-RF |  |  |  |  |  | 8990.55 |  |  |  | 8990.55 |  |  | 
61333000 |  | ARVAL HB-591-ZW |  |  |  |  |  | 2987.5 |  |  |  | 2987.5 |  |  | 
61333100 |  | ARVAL HC-010-RN |  |  |  |  |  | 2770 |  |  |  | 2770 |  |  | 
61333200 |  | ARVAL HC-861-SG |  |  |  |  |  | 4522.97 |  |  |  | 4522.97 |  |  | 
61350000 |  | LOCATIONS DE VEHICULES PONCTUELLES |  |  |  |  |  | 3476.57 |  |  |  | 3476.57 |  |  | 
61352000 |  | LOCATIONS MOBILIERES |  |  |  |  |  | 8761.58 |  | 6316.92 |  | 2444.66 |  |  | 
61400000 |  | CHARGES LOCATIVES ET COPROPRIÉTÉ |  |  |  |  |  | 3065.5 |  | 1277 |  | 1788.5 |  |  | 
61520000 |  | ENTRETIEN SUR BIENS IMMOBILIERS |  |  |  |  |  | 15576.75 |  |  |  | 15576.75 |  |  | 
61551000 |  | ENTRETIEN VEHICULE DIRECTION |  |  |  |  |  | 33653.81 |  | 970.95 |  | 32682.859999999997 |  |  | 
61560000 |  | MAINTENANCE |  |  |  |  |  | 24353.79 |  | 8241.69 |  | 16112.1 |  |  | 
61620000 |  | ASSURANCES VÉHICULES |  |  |  |  |  | 93854.36 |  | 62582.93 |  | 31271.43 |  |  | 
61630000 |  | ASSURANCE RESPONSABILITÉ CIVILE |  |  |  |  |  | 31348.5 |  | 19157.42 |  | 12191.080000000002 |  |  | 
61650000 |  | ASSURANCE/LEASING |  |  |  |  |  | 1575 |  |  |  | 1575 |  |  | 
61660000 |  | ASSURANCE DIVERSES |  |  |  |  |  | 6780.77 |  | 2351.92 |  | 4428.85 |  |  | 
61670000 |  | ASSURANCE RC MANDATAIRES |  |  |  |  |  | 2756.84 |  | 1691.82 |  | 1065.0200000000002 |  |  | 
61820000 |  | FORMATIONS |  |  |  |  |  | 16950 |  | 5500 |  | 11450 |  |  | 
61850000 |  | DOCUMENTATION GENERALE |  |  |  |  |  | 3678.74 |  | 573.24 |  | 3105.5 |  |  | 
62220000 |  | COMMISSIONS SUR VENTES |  |  |  |  |  | 5379.99 |  |  |  | 5379.99 |  |  | 
62250000 |  | REMUNERATION FACTOR |  |  |  |  |  | 3170.42 |  |  |  | 3170.42 |  |  | 
62261000 |  | HONORAIRES COMPTABLES |  |  |  |  |  | 37967.48 |  | 9910 |  | 28057.480000000003 |  |  | 
62264000 |  | HONORAIRES CAC |  |  |  |  |  | 43425 |  | 33331 |  | 10094 |  |  | 
62265000 |  | PRESTATIONS CONSEILS EXO B CONSULTI |  |  |  |  |  | 552100.37 |  | 406267.04 |  | 145833.33000000002 |  |  | 
62267000 |  | HONO MARIE DO SIMON |  |  |  |  |  | 24299.06 |  |  |  | 24299.06 |  |  | 
62268000 |  | HONORAIRES DIVERS |  |  |  |  |  | 228108.36 |  | 41845.17 |  | 186263.19 |  |  | 
62268100 |  | HONORAIRES DIVERS EXO TVA |  |  |  |  |  | 4134.44 |  |  |  | 4134.44 |  |  | 
62270000 |  | FRAIS D'ACTES & CONTENTIEUX |  |  |  |  |  | 1354.01 |  | 748.91 |  | 605.1 |  |  | 
62310000 |  | LOGICIEL DE TRAVAIL SERVICE |  |  |  |  |  | 47198.95 |  | 13722.26 |  | 33476.689999999995 |  |  | 
62311000 |  | RP RELATIONS PUBLIQUES ET PRESSE |  |  |  |  |  | 21224.2 |  | 2758.26 |  | 18465.940000000002 |  |  | 
62312000 |  | EVENEMENT ET ACTION INTERNE |  |  |  |  |  | 1619.3 |  |  |  | 1619.3 |  |  | 
62319000 |  | JOB BOARD/LOGICIEL RH PUBLI OFFRES |  |  |  |  |  | 14292.94 |  | 13070.16 |  | 1222.7800000000007 |  |  | 
62330000 |  | SALON/FOIRE/EXPO |  |  |  |  |  | 37332.87 |  | 16275 |  | 21057.870000000003 |  |  | 
62340000 |  | CADEAUX CLIENTELE/PARTENAIRES |  |  |  |  |  | 1708.95 |  |  |  | 1708.95 |  |  | 
62350000 |  | FREELANCE SERVICE |  |  |  |  |  | 65168.21 |  | 23500 |  | 41668.21 |  |  | 
62350010 |  | GOODIES CATALOGUES ET IMPRIMES |  |  |  |  |  | 6109.62 |  |  |  | 6109.62 |  |  | 
